#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
327,J1012-2337,2.517945,8.81e-16,22.51,*,0.983,0.983,1.51e+12,
328,J1012-5830,2.133591,3.77e-14,294.00,*,2.799,2.799,9.07e+12,
329,J1012-5857,0.819929,1.78e-14,382.60,*,3.180,3.180,3.87e+12,
330,J1013-5934,0.442901,5.56e-16,379.47,*,3.143,3.143,5.02e+11,
331,J1015-5719,0.139920,5.74e-14,277.79,*,2.732,2.732,2.87e+12,
332,J1016-5345,0.769586,1.93e-15,67.30,*,0.117,0.117,1.23e+12,
333,J1016-5819,0.087834,6.99e-16,252.16,*,2.587,2.587,2.51e+11,
334,J1016-5857,0.107386,8.08e-14,393.62,*,3.161,3.161,2.98e+12,
335,J1017+3011,0.452785,5.70e-16,27.15,*,25.000,25.000,5.14e+11,
336,J1017-5621,0.503463,3.14e-15,437.88,*,3.509,3.509,1.27e+12,
337,J1018-1523,0.083153,1.09e-19,17.16,DD,1.068,1.068,3.05e+09,
338,J1018-1642,1.804696,1.74e-15,49.16,*,25.000,25.000,1.79e+12,
339,J1019-5749,0.162513,2.01e-14,1039.90,*,10.914,10.914,1.83e+12,
340,J1020-5921,1.238305,4.05e-14,80.00,*,0.938,0.938,7.16e+12,
341,J1020-6026,0.140481,6.74e-15,446.00,*,3.277,3.277,9.85e+11,
342,J1021-5601,0.670026,5.34e-17,212.00,*,2.429,2.429,1.91e+11,
343,J1022-5813,1.643726,1.45e-13,714.00,*,4.246,4.246,1.56e+13,
344,J1023-5746,0.111472,3.84e-13,*,*,2.080,*,6.62e+12,
345,J1028-5819,0.091403,1.61e-14,96.53,*,1.423,1.423,1.23e+12,
346,J1031-6117,0.306411,1.78e-15,506.80,*,3.383,3.383,7.48e+11,
347,J1032-5206,2.407622,1.79e-14,139.00,*,2.096,2.096,6.64e+12,
348,J1032-5804,0.078741,3.61e-14,819.00,*,4.324,4.324,1.71e+12,
349,J1032-5911,0.464213,1.80e-15,418.20,*,3.005,3.005,9.24e+11,
350,J1034-3224,1.150591,2.30e-16,51.76,*,1.693,1.693,5.21e+11,
351,J1035-6345,0.579577,3.50e-16,189.70,*,2.167,2.167,4.56e+11,
352,J1036-4926,0.510370,1.65e-15,136.43,*,2.312,2.312,9.29e+11,
353,J1036-6559,0.533502,1.36e-15,158.36,*,2.052,2.052,8.63e+11,
354,J1038-5831,0.661993,1.26e-15,72.78,*,0.918,0.918,9.24e+11,
355,J1041-1942,1.386369,9.45e-16,33.62,*,2.506,2.506,1.16e+12,
356,J1042-5521,1.170868,6.72e-15,306.76,*,2.790,2.790,2.84e+12,
357,J1043-6116,0.288605,1.04e-14,448.76,*,3.054,3.054,1.75e+12,
358,J1044-5737,0.139029,5.46e-14,*,*,1.895,*,2.79e+12,
359,J1046+0304,0.326271,1.24e-16,24.98,*,4.740,4.740,2.04e+11,
360,J1046-5813,0.369428,1.15e-15,239.99,*,2.340,2.340,6.60e+11,
361,J1047-3032,0.330328,6.10e-17,52.82,*,2.144,2.144,1.44e+11,
362,J1047-6709,0.198453,1.69e-15,116.16,*,1.766,1.766,5.86e+11,
363,J1048+5349,2.730862,1.22e-15,27.30,*,25.000,25.000,1.84e+12,
364,J1048-5832,0.123740,9.61e-14,128.68,*,2.900,1.790,3.49e+12,
365,J1048-5838,1.231305,1.22e-14,70.70,*,1.008,1.008,3.92e+12,
366,J1049+5822,0.727618,3.91e-15,12.36,*,1.120,1.120,1.71e+12,
367,J1049-5833,2.202328,4.37e-15,448.79,*,3.011,3.011,3.14e+12,
368,J1050-5953,6.452077,3.81e-11,*,*,9.000,*,5.02e+14,
369,J1052-5954,0.180592,2.00e-14,491.90,*,3.143,3.143,1.92e+12,
370,J1052-6348,0.383830,3.87e-16,167.50,*,1.994,1.994,3.90e+11,
371,J1054-5943,0.346909,4.07e-15,330.70,*,2.585,2.585,1.20e+12,
372,J1054-5946,0.228324,2.09e-16,253.90,*,2.327,2.327,2.21e+11,
373,J1054-6452,1.840004,3.14e-15,234.00,*,2.342,2.342,2.43e+12,
374,J1055-6022,0.947558,9.24e-14,590.00,*,3.597,3.597,9.47e+12,
375,J1055-6028,0.099661,2.95e-14,636.50,*,3.830,3.830,1.74e+12,
376,J1055-6236,0.448635,7.08e-16,149.70,*,1.883,1.883,5.70e+11,
377,J1055-6905,2.919397,2.03e-14,142.80,*,2.035,2.035,7.80e+12,
378,J1056-5709,0.676082,5.76e-16,436.50,*,3.062,3.062,6.31e+11,
379,J1056-6258,0.422451,3.58e-15,320.68,*,2.400,2.615,1.24e+12,
380,J1057-4754,0.628306,2.25e-16,60.00,*,0.639,0.639,3.80e+11,
381,J1057-5226,0.197116,5.84e-15,29.68,*,0.093,0.093,1.09e+12,
382,J1057-5851,0.620365,1.01e-13,*,*,*,*,7.99e+12,
383,J1057-7914,1.347404,1.33e-15,51.55,*,1.453,1.453,1.35e+12,
384,J1058-5957,0.616271,6.51e-16,333.88,*,2.588,2.588,6.41e+11,
385,J1059+6459,3.631170,5.74e-15,19.30,*,1.944,1.944,4.62e+12,
386,J1059-5742,1.185003,4.31e-15,108.57,*,1.643,1.643,2.29e+12,
387,J1101-6101,0.062800,8.56e-15,*,*,7.000,*,7.42e+11,
388,J1103-6025,0.396587,9.90e-16,275.90,*,2.379,2.379,6.34e+11,
389,J1104-6103,0.280905,1.97e-15,78.51,*,1.327,1.327,7.52e+11,
390,J1105+02,6.403055,1.43e-15,16.50,*,1.580,1.580,3.07e+12,
391,J1105-4353,0.351112,2.50e-15,45.00,*,0.127,0.127,9.48e+11,
392,J1105-6037,0.194938,2.18e-14,*,*,*,*,2.09e+12,
393,J1105-6107,0.063202,1.58e-14,271.63,*,2.360,2.360,1.01e+12,
394,J1106-6438,2.717934,2.33e-15,203.00,*,2.153,2.153,2.54e+12,
395,J1107-5907,0.252773,9.01e-18,40.75,*,0.115,0.115,4.83e+10,
396,J1107-5947,1.516531,3.40e-16,158.40,*,1.915,1.915,7.27e+11,
397,J1107-6143,1.799396,1.56e-13,406.00,*,2.937,2.937,1.69e+13,
398,J1110-5637,0.558254,2.06e-15,261.65,*,2.444,2.444,1.09e+12,
399,J1111-6039,0.106689,1.96e-13,*,*,*,*,4.62e+12,
400,J1112-6103,0.064962,3.15e-14,595.69,*,4.464,4.464,1.45e+12,
401,J1112-6613,0.334214,8.23e-16,249.09,*,2.531,2.531,5.31e+11,
402,J1112-6926,0.820488,2.82e-15,148.67,*,2.078,2.078,1.54e+12,
403,J1114-6100,0.880865,4.60e-14,680.26,*,5.505,5.505,6.44e+12,
404,J1115+5030,1.656440,2.49e-15,9.19,*,0.923,0.923,2.06e+12,
405,J1115-0956,1.310894,3.47e-17,16.10,*,1.061,1.061,2.16e+11,
406,J1115-6052,0.259782,7.23e-15,227.66,*,2.187,2.187,1.39e+12,
407,J1116-2444,0.867949,9.85e-16,29.60,*,0.839,0.839,9.36e+11,
408,J1116-4122,0.943165,7.97e-15,40.56,*,0.280,0.280,2.77e+12,
409,J1117-6154,0.505106,1.25e-14,493.40,*,3.973,3.973,2.54e+12,
410,J1117-6447,1.155272,2.40e-16,303.00,*,2.752,2.752,5.33e+11,
411,J1119-6127,0.407963,4.02e-12,704.80,*,8.400,6.414,4.10e+13,
412,J1119-7936,2.280602,3.68e-15,26.38,*,0.771,0.771,2.93e+12,
413,J1121-5444,0.535787,2.80e-15,204.70,*,2.324,2.324,1.24e+12,
414,J1123-4844,0.244839,6.49e-17,93.72,*,1.870,1.870,1.28e+11,
415,J1123-6102,0.640238,6.45e-15,439.11,*,3.484,3.484,2.06e+12,
416,J1123-6259,0.271438,5.25e-15,223.26,*,2.187,2.187,1.21e+12,
417,J1123-6651,0.232979,2.75e-15,111.20,*,1.675,1.675,8.09e+11,
418,J1124-5638,0.185560,9.00e-18,289.50,*,2.639,2.639,4.14e+10,
419,J1124-5916,0.135477,7.53e-13,329.20,*,5.000,2.673,1.02e+13,
420,J1124-6421,0.479099,6.20e-16,298.00,*,2.702,2.702,5.52e+11,
421,J1126-6054,0.202737,2.82e-16,280.33,*,2.426,2.426,2.42e+11,
422,J1126-6942,0.579419,3.29e-15,55.33,*,1.185,1.185,1.40e+12,
423,J1128-6219,0.515984,1.10e-17,675.00,*,7.400,7.400,7.62e+10,
424,J1130-5826,0.162323,1.59e-17,261.10,*,2.408,2.408,5.14e+10,
425,J1130-5925,0.680984,9.52e-16,264.40,*,2.387,2.387,8.15e+11,
426,J1130-6807,0.256353,4.61e-16,148.73,*,1.972,1.972,3.48e+11,
427,J1132-4700,0.325634,7.76e-16,122.94,*,2.688,2.688,5.09e+11,
428,J1132-5627,0.175166,6.80e-17,305.70,*,2.911,2.911,1.10e+11,
429,J1133-6250,1.022876,4.65e-16,568.48,*,7.452,7.452,6.98e+11,
430,J1135-6055,0.114943,7.93e-14,*,*,*,*,3.05e+12,
431,J1136+1551,1.187917,3.73e-15,4.84,*,0.370,0.410,2.13e+12,
432,J1136-5525,0.364715,8.23e-15,85.11,*,1.518,1.518,1.75e+12,
433,J1136-6527,1.189309,1.75e-15,164.10,*,1.955,1.955,1.46e+12,
434,J1137-6700,0.556216,6.98e-17,228.04,*,2.603,2.603,1.99e+11,
435,J1138-6207,0.117564,1.25e-14,518.86,*,7.183,7.183,1.23e+12,
436,J1139-6247,0.120482,4.05e-15,*,*,*,*,7.07e+11,
437,J1141-3107,0.538433,2.02e-15,30.97,*,0.795,0.795,1.05e+12,
438,J1141-3322,0.291468,4.65e-16,46.37,*,1.853,1.853,3.73e+11,
439,J1141-6545,0.393899,4.31e-15,116.08,DD,10.000,1.676,1.32e+12,
440,J1142-6230,0.558383,7.79e-17,343.80,*,3.483,3.483,2.11e+11,
441,J1143-5158,0.675646,6.95e-16,159.03,*,2.397,2.397,6.94e+11,
442,J1143-5536,0.685358,4.85e-16,185.00,*,2.220,2.220,5.83e+11,
443,J1144-6217,0.850665,3.08e-14,284.70,*,2.644,2.644,5.18e+12,
444,J1146-6030,0.273375,1.79e-15,111.66,*,1.634,1.634,7.08e+11,
445,J1148-5725,3.559937,1.11e-14,174.00,*,2.063,2.063,6.36e+12,
446,J1148-6415,3.241029,2.70e-15,241.00,*,2.454,2.454,2.99e+12,
447,J1151-6108,0.101633,1.03e-14,217.80,*,2.227,2.227,1.03e+12,
448,J1152-5800,1.789829,1.28e-15,191.00,*,2.156,2.156,1.53e+12,
449,J1152-6012,0.376570,6.69e-15,74.00,*,1.367,1.367,1.61e+12,
450,J1154-6250,0.282012,5.59e-16,74.00,*,1.358,1.358,4.02e+11,
451,J1156-5707,0.288417,2.65e-14,243.20,*,2.848,2.848,2.80e+12,
452,J1156-5909,1.037931,1.02e-15,219.20,*,2.330,2.330,1.04e+12,
453,J1157-5112,0.043589,1.43e-19,39.72,ELL1,0.961,0.961,2.53e+09,
454,J1157-6224,0.400526,3.93e-15,324.30,*,4.000,4.712,1.27e+12,
455,J1159-6409,0.667486,2.63e-17,173.57,*,2.006,2.006,1.34e+11,
456,J1159-7910,0.525077,2.81e-15,59.34,*,1.609,1.609,1.23e+12,
457,J1201-6306,0.592136,3.56e-15,683.00,*,9.538,9.538,1.47e+12,
458,J1202-5820,0.452803,2.13e-15,145.74,*,1.889,1.889,9.94e+11,
459,J1203-6242,0.100604,4.41e-14,*,*,*,*,2.13e+12,
460,J1204-6843,0.308861,2.17e-16,134.15,*,1.908,1.908,2.62e+11,
461,J1207-4508,1.769828,1.56e-15,84.50,*,2.634,2.634,1.68e+12,
462,J1208-6238,0.440591,3.27e-12,*,*,*,*,3.84e+13,
463,J1210-5226,0.424131,2.22e-17,*,*,2.600,*,9.83e+10,
464,J1210-5559,0.279768,7.25e-16,174.31,*,2.371,2.371,4.56e+11,
465,J1210-6322,1.163186,9.25e-15,547.00,*,9.548,9.548,3.32e+12,
466,J1210-6550,4.237010,4.31e-16,37.00,*,0.923,0.923,1.37e+12,
467,J1211-6324,0.433084,2.64e-16,333.47,*,8.038,8.038,3.42e+11,
468,J1214-5830,0.909823,5.34e-17,141.10,*,1.883,1.883,2.23e+11,
469,J1215-5328,0.636414,1.09e-16,162.55,*,3.238,3.238,2.67e+11,
470,J1216-6223,0.374053,1.68e-14,790.00,*,18.311,18.311,2.54e+12,
471,J1220-6318,0.789212,7.76e-17,349.82,*,8.983,8.983,2.50e+11,
472,J1222-5738,1.081164,1.50e-16,74.00,*,1.408,1.408,4.08e+11,
473,J1223-5856,0.288541,5.70e-18,233.00,*,4.770,4.770,4.10e+10,
474,J1224-6208,0.585761,2.02e-14,454.20,*,9.876,9.876,3.48e+12,
475,J1224-6407,0.216480,4.95e-15,97.72,*,4.000,1.535,1.05e+12,
476,J1225-5556,1.018453,2.06e-15,125.83,*,1.929,1.929,1.47e+12,
477,J1225-6035,0.626324,2.88e-16,176.10,*,2.194,2.194,4.30e+11,
478,J1225-6408,0.419619,9.33e-16,413.24,*,9.838,9.838,6.33e+11,
479,J1226+0005,2.285076,2.47e-15,18.50,*,1.868,1.868,2.41e+12,
480,J1226-3223,6.193004,7.05e-15,36.70,*,2.175,2.175,6.69e+12,
481,J1227-6208,0.034528,1.86e-19,362.91,ELL1H,9.469,9.469,2.57e+09,
482,J1231-4609,0.877239,3.49e-17,66.54,*,1.934,1.934,1.77e+11,
483,J1231-5113,0.206612,1.17e-16,*,*,*,*,1.57e+11,
484,J1231-6303,1.351236,1.32e-16,301.00,*,8.278,8.278,4.27e+11,
485,J1231-6511,0.247525,2.84e-14,*,*,*,*,2.68e+12,
486,J1232-4742,1.872994,1.40e-17,26.00,*,0.871,0.871,1.64e+11,
487,J1232-6501,0.088282,8.11e-19,239.40,ELL1,5.423,5.423,8.56e+09,
488,J1233-6312,0.564759,6.92e-15,414.00,*,10.020,10.020,2.00e+12,
489,J1233-6344,0.756892,3.88e-15,495.00,*,10.378,10.378,1.73e+12,
490,J1234-3630,0.569242,8.66e-16,59.29,*,5.991,5.991,7.10e+11,
491,J1235-6354,0.256778,1.97e-16,439.90,*,10.296,10.296,2.28e+11,
492,J1236-0159,3.597574,5.10e-15,19.08,*,2.021,2.021,4.34e+12,
493,J1236-5033,0.294760,1.55e-16,105.13,*,2.755,2.755,2.16e+11,
494,J1237-6725,2.110974,2.19e-15,176.50,*,3.036,3.036,2.18e+12,
495,J1238+2152,1.118591,1.45e-15,17.97,*,2.554,2.554,1.29e+12,
496,J1239+0326,0.858327,4.36e-16,34.29,*,25.000,25.000,6.19e+11,
497,J1239+2453,1.382449,9.60e-16,9.25,*,0.840,0.827,1.17e+12,
498,J1239-6832,1.301924,1.19e-14,94.06,*,1.573,1.573,3.98e+12,
499,J1240-4124,0.512244,1.74e-15,43.22,*,1.644,1.644,9.55e+11,
500,J1243-5735,0.471225,8.00e-17,270.60,*,14.147,14.147,1.96e+11,
501,J1243-6423,0.388485,4.49e-15,297.02,*,2.000,9.402,1.34e+12,
502,J1244-1812,3.425324,1.48e-15,15.50,*,1.085,1.085,2.28e+12,
503,J1244-4708,1.411433,9.97e-16,75.02,*,25.000,25.000,1.20e+12,
504,J1244-5053,0.275207,1.00e-15,109.95,*,3.422,3.422,5.31e+11,
505,J1244-6359,0.147274,4.40e-18,286.00,DD,8.497,8.497,2.58e+10,
506,J1244-6531,1.546819,7.18e-15,388.00,*,10.862,10.862,3.37e+12,
507,J1245-6238,2.283093,1.09e-14,336.00,*,9.956,9.956,5.05e+12,
508,J1246+2253,0.473871,8.89e-17,17.79,*,2.464,2.464,2.08e+11,
509,J1248-6344,0.198335,1.69e-14,433.00,*,10.699,10.699,1.85e+12,
510,J1248-6444,1.234893,1.93e-15,236.40,*,5.969,5.969,1.56e+12,
511,J1249-6507,0.434445,1.21e-17,215.00,*,5.123,5.123,7.34e+10,
512,J1251-7407,0.327058,3.65e-16,89.81,*,1.860,1.860,3.50e+11,
513,J1252-6314,0.823339,1.15e-16,276.68,*,7.236,7.236,3.12e+11,
514,J1253-5820,0.255498,2.10e-15,100.57,*,1.641,1.641,7.42e+11,
515,J1254-6150,0.184502,6.24e-16,95.00,*,1.531,1.531,3.43e+11,
516,J1255-6131,0.657974,4.00e-15,206.50,*,4.824,4.824,1.64e+12,
517,J1257-1027,0.617308,3.63e-16,29.63,*,25.000,25.000,4.79e+11,
518,J1259-6741,0.663330,8.57e-16,91.91,*,1.548,1.548,7.63e+11,
519,J1300-6602,1.143316,3.35e-16,460.00,*,15.567,15.567,6.26e+11,
520,J1301-6305,0.184528,2.67e-13,374.00,*,10.717,10.717,7.10e+12,
521,J1301-6310,0.663830,5.64e-14,86.10,*,1.458,1.458,6.19e+12,
522,J1302-6313,0.967846,6.33e-15,500.00,*,11.331,11.331,2.50e+12,
523,J1302-6350,0.047763,2.28e-15,146.73,MSS,2.632,2.214,3.34e+11,
524,J1303-6305,2.306642,2.18e-15,343.00,*,10.249,10.249,2.27e+12,
525,J1305-6203,0.427774,3.22e-14,468.78,*,11.586,11.586,3.75e+12,
526,J1305-6256,0.478231,2.11e-15,967.00,*,25.000,25.000,1.02e+12,
527,J1305-6455,0.571652,4.02e-15,505.11,*,11.901,11.901,1.53e+12,
528,J1306-6242,0.981902,5.86e-15,480.00,*,11.429,11.429,2.43e+12,
529,J1306-6617,0.473028,5.98e-15,438.21,*,15.893,15.893,1.70e+12,
530,J1307-6318,4.962427,2.11e-14,374.00,*,10.783,10.783,1.04e+13,
531,J1308+2127,10.312522,1.12e-13,*,*,*,*,3.44e+13,
532,J1308-4650,1.058833,5.26e-16,66.00,*,2.187,2.187,7.55e+11,
533,J1308-5844,0.464700,8.64e-15,205.60,*,6.462,6.462,2.03e+12,
534,J1309-6415,0.619454,8.79e-15,574.00,*,11.977,11.977,2.36e+12,
535,J1309-6526,0.398292,1.84e-17,340.00,*,11.257,11.257,8.66e+10,
536,J1311-1228,0.447518,1.51e-16,36.21,*,25.000,25.000,2.63e+11,
537,J1312-5402,0.728154,1.47e-16,133.00,*,4.905,4.905,3.31e+11,
538,J1312-5516,0.849243,5.70e-15,134.10,*,4.187,4.187,2.23e+12,
539,J1312-6400,2.437433,6.78e-16,90.74,*,1.506,1.506,1.30e+12,
540,J1313+0931,0.848933,8.00e-16,12.04,*,1.083,1.083,8.34e+11,
541,J1314-6101,2.948390,1.17e-14,309.00,*,8.539,8.539,5.94e+12,
542,J1316-6232,0.342825,5.30e-15,966.40,*,25.000,25.000,1.36e+12,
543,J1317-5759,2.642199,1.26e-14,145.30,*,3.765,3.765,5.83e+12,
544,J1317-6302,0.261271,1.02e-16,678.10,*,12.771,12.771,1.66e+11,
545,J1319-6056,0.284353,1.53e-15,400.64,*,11.849,11.849,6.67e+11,
546,J1319-6105,0.421118,1.50e-15,440.60,*,12.173,12.173,8.05e+11,
547,J1320-3512,0.458488,5.26e-19,16.91,*,0.890,0.890,1.57e+10,
548,J1320-5359,0.279738,9.25e-15,97.31,*,2.217,2.217,1.63e+12,
549,J1321+8323,0.670037,5.66e-16,13.32,*,0.960,0.977,6.23e+11,
550,J1321-5922,1.279058,2.37e-15,383.00,*,25.000,25.000,1.76e+12,
551,J1322-6241,0.506058,2.59e-15,618.80,*,12.236,12.236,1.16e+12,
552,J1322-6329,2.764209,1.11e-14,659.00,*,12.376,12.376,5.60e+12,
553,J1324-6146,0.844109,5.58e-15,828.00,*,25.000,25.000,2.20e+12,
554,J1324-6302,2.483804,9.79e-16,497.00,*,11.685,11.685,1.58e+12,
555,J1326-5859,0.477994,3.25e-15,287.13,*,3.000,10.670,1.26e+12,
556,J1326-6408,0.792674,3.09e-15,502.28,*,11.990,11.990,1.58e+12,
557,J1326-6700,0.543016,5.32e-15,208.90,*,6.694,6.694,1.72e+12,
558,J1327+3423,0.041513,1.29e-19,4.19,*,0.344,0.344,2.34e+09,
559,J1327-6222,0.529929,1.88e-14,318.44,*,4.000,6.510,3.19e+12,
560,J1327-6301,0.196480,1.53e-15,294.21,*,6.208,6.208,5.55e+11,
561,J1327-6400,0.280678,3.12e-14,679.00,*,12.991,12.991,2.99e+12,
562,J1328-4357,0.532703,3.04e-15,41.29,*,1.402,1.402,1.29e+12,
563,J1328-4921,1.478721,6.10e-16,118.00,*,8.396,8.396,9.61e+11,
564,J1329-6158,1.565218,3.39e-14,514.00,*,11.872,11.872,7.37e+12,
565,J1331-5245,0.648117,5.10e-16,148.40,*,8.933,8.933,5.82e+11,
566,J1332-3032,0.650434,5.60e-16,15.10,*,0.882,0.882,6.11e+11,
567,J1333-4449,0.345603,5.40e-19,44.30,*,1.434,1.434,1.38e+10,
568,J1334-5839,0.107718,2.15e-17,119.30,*,2.490,2.490,4.87e+10,
569,J1336-2522,0.478145,3.31e-16,37.39,*,5.349,5.349,4.02e+11,
570,J1337-4441,1.257511,3.03e-16,97.80,*,25.000,25.000,6.25e+11,
571,J1337-6306,0.207953,3.56e-16,777.70,*,12.932,12.932,2.75e+11,
572,J1338-6204,1.239003,1.38e-14,643.03,*,12.374,12.374,4.18e+12,
573,J1339-4712,0.137055,4.96e-19,40.01,*,1.214,1.214,8.34e+09,
574,J1339-6618,0.558179,3.50e-16,241.00,*,7.326,7.326,4.47e+11,
575,J1340-6456,0.378629,5.06e-15,76.87,*,1.400,1.400,1.40e+12,
576,J1341-6023,0.627299,1.95e-14,364.95,*,7.283,7.283,3.54e+12,
577,J1341-6220,0.193340,2.53e-13,719.65,*,12.600,12.600,7.08e+12,
578,J1343+6634,1.394104,1.09e-15,30.03,*,25.000,25.000,1.25e+12,
579,J1344-5855,0.252398,2.91e-15,294.10,*,7.538,7.538,8.68e+11,
580,J1344-6059,0.540102,4.30e-17,435.00,*,7.414,7.414,1.54e+11,
581,J1345-6115,1.253087,3.25e-15,280.43,*,5.589,5.589,2.04e+12,
582,J1346-4918,0.299625,3.45e-17,74.61,*,2.545,2.545,1.03e+11,
583,J1347-5947,0.609972,1.42e-14,292.21,*,6.269,6.269,2.97e+12,
584,J1348-6307,0.927772,3.79e-15,597.00,*,10.643,10.643,1.90e+12,
585,J1349-6130,0.259365,5.12e-15,283.87,*,5.481,5.481,1.17e+12,
586,J1350-5115,0.295700,7.58e-16,90.39,*,3.304,3.304,4.79e+11,
587,J1350-6225,0.138158,8.88e-15,*,*,*,*,1.12e+12,
588,J1352-6803,0.628903,1.23e-15,215.01,*,9.967,9.967,8.89e+11,
589,J1354+2453,0.851064,1.40e-16,120.00,*,25.000,25.000,3.49e+11,
590,J1354-6249,2.951938,1.48e-14,254.00,*,5.158,5.158,6.69e+12,
591,J1355-5153,0.644305,2.81e-15,112.10,*,4.984,4.984,1.36e+12,
592,J1355-5747,2.038674,7.07e-16,229.00,*,6.443,6.443,1.21e+12,
593,J1355-5925,1.213385,5.98e-15,354.34,*,7.199,7.199,2.73e+12,
594,J1355-6206,0.276603,3.10e-18,547.00,*,7.542,7.542,2.96e+10,
595,J1356-5521,0.507380,7.24e-16,174.17,*,7.316,7.316,6.13e+11,
596,J1357-6429,0.166308,3.61e-13,127.41,*,3.100,3.100,7.84e+12,
597,J1358-6025,0.060533,3.02e-15,*,*,*,*,4.32e+11,
598,J1359-6038,0.127509,6.33e-15,293.80,*,5.000,5.474,9.09e+11,
599,J1400-6325,0.031182,3.89e-14,563.00,*,7.000,9.166,1.11e+12,
600,J1401-6357,0.842805,1.68e-14,97.72,*,1.800,1.756,3.81e+12,
601,J1402-5021,1.380182,5.41e-15,51.00,*,1.285,1.285,2.77e+12,
602,J1403-6310,0.399170,8.59e-17,304.35,*,5.659,5.659,1.87e+11,
603,J1403-7646,1.306199,1.20e-15,101.09,*,5.396,5.396,1.27e+12,
604,J1404+1159,2.650439,1.38e-15,18.50,*,2.160,2.160,1.93e+12,
605,J1405-5641,0.617575,1.20e-15,273.00,*,12.383,12.383,8.70e+11,
606,J1406-4233,2.436795,6.81e-16,79.70,*,6.785,6.785,1.30e+12,
607,J1406-5806,0.288350,6.14e-16,229.85,*,5.586,5.586,4.26e+11,
608,J1406-6121,0.213075,5.47e-14,537.29,*,7.292,7.292,3.45e+12,
609,J1407-6048,0.492344,3.16e-15,575.20,*,7.860,7.860,1.26e+12,
610,J1407-6153,0.701615,8.85e-15,645.00,*,8.205,8.205,2.52e+12,
611,J1409-6953,0.528591,8.40e-16,167.60,*,8.752,8.752,6.74e+11,
612,J1410-6132,0.050052,3.20e-14,961.00,*,13.510,13.510,1.28e+12,
613,J1410-7404,0.278729,6.80e-18,54.23,*,1.335,1.335,4.40e+10,
614,J1411+2551,0.062453,9.60e-20,12.37,DD,1.131,1.131,2.48e+09,
615,J1412+7922,0.058199,3.29e-15,*,*,*,*,4.43e+11,
616,J1412-6111,0.529158,1.90e-15,313.61,*,5.299,5.299,1.01e+12,
617,J1412-6145,0.315258,9.90e-14,512.48,*,7.097,7.097,5.65e+12,
618,J1413-6141,0.285625,3.33e-13,667.60,*,8.469,8.469,9.88e+12,
619,J1413-6205,0.109741,2.77e-14,*,*,2.150,*,1.76e+12,
620,J1413-6222,0.292408,2.23e-15,808.10,*,13.087,13.087,8.17e+11,
621,J1413-6307,0.394953,7.48e-15,121.63,*,3.022,3.022,1.74e+12,
622,J1414-6802,4.630188,6.39e-15,153.50,*,5.420,5.420,5.50e+12,
623,J1415-6621,0.392479,5.78e-16,260.19,*,10.434,10.434,4.82e+11,
624,J1416-5033,0.794883,1.20e-16,58.50,*,1.423,1.423,3.13e+11,
625,J1416-6037,0.295584,4.29e-15,288.90,*,5.080,5.080,1.14e+12,
626,J1418-3921,1.096807,8.85e-16,60.49,*,4.122,4.122,9.97e+11,
627,J1418-5945,1.672596,2.71e-16,369.00,*,6.140,6.140,6.81e+11,
628,J1418-6058,0.110573,1.69e-13,*,*,1.885,*,4.38e+12,
629,J1420-5416,0.935772,2.32e-16,129.60,*,4.399,4.399,4.72e+11,
630,J1420-5625,0.034117,6.75e-20,64.48,BT,1.328,1.328,1.54e+09,
631,J1420-6048,0.068180,8.32e-14,360.15,*,5.632,5.632,2.41e+12,
632,J1422-6138,0.340968,9.68e-14,*,*,*,*,5.81e+12,
633,J1423-6953,0.333411,1.45e-15,123.98,*,4.704,4.704,7.04e+11,
634,J1424-5556,0.770375,7.80e-16,199.00,*,6.206,6.206,7.85e+11,
635,J1424-5822,0.366737,3.95e-15,323.93,*,6.696,6.696,1.22e+12,
636,J1424-6438,1.023504,2.40e-16,248.00,*,6.079,6.079,5.02e+11,
637,J1425-5723,0.353263,2.20e-17,43.40,*,1.065,1.065,8.92e+10,
638,J1425-5759,0.707868,7.42e-16,325.00,*,7.635,7.635,7.33e+11,
639,J1425-6210,0.501730,4.78e-16,430.10,*,6.851,6.851,4.96e+11,
640,J1427-4158,0.586486,6.21e-16,65.40,*,3.744,3.744,6.11e+11,
641,J1428-5530,0.570293,2.09e-15,81.88,*,1.871,1.871,1.10e+12,
642,J1429-5911,0.115843,3.05e-14,*,*,1.955,*,1.90e+12,
643,J1429-5935,0.763915,4.28e-14,457.00,*,7.686,7.686,5.78e+12,
644,J1430-5712,0.491519,4.69e-14,149.00,*,3.902,3.902,4.86e+12,
645,J1430-6623,0.785443,2.78e-15,65.11,*,1.327,1.327,1.49e+12,
646,J1432-5032,2.034989,5.92e-15,113.00,*,5.280,5.280,3.51e+12,
647,J1433-6038,1.954430,5.63e-15,409.00,*,6.221,6.221,3.36e+12,
648,J1434+7257,0.041741,5.48e-19,12.61,*,0.975,0.975,4.84e+09,
649,J1434-5943,1.072121,2.96e-17,126.00,*,3.212,3.212,1.80e+11,
650,J1434-6006,0.306368,3.02e-15,332.00,*,5.297,5.297,9.73e+11,
651,J1434-6029,0.963348,1.03e-15,282.00,*,4.808,4.808,1.01e+12,
652,J1435-5954,0.472997,1.55e-15,44.04,*,1.062,1.062,8.66e+11,
