#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
2187,J2005+3547,0.615034,2.81e-16,401.60,*,13.558,13.558,4.21e+11,
2188,J2005+3552,0.307943,2.99e-15,455.00,*,14.371,14.371,9.71e+11,
2189,J2005-0020,2.279680,2.57e-14,36.09,*,1.835,1.835,7.74e+12,
2190,J2006+3102,0.163695,2.49e-14,107.16,*,6.028,6.028,2.04e+12,
2191,J2006+4058,0.499695,2.84e-16,259.50,*,12.555,12.555,3.81e+11,
2192,J2006-0807,0.580871,4.60e-17,32.39,*,2.000,1.706,1.65e+11,
2193,J2007+0809,0.325724,1.37e-16,53.39,*,3.040,3.040,2.14e+11,
2194,J2007+0910,0.458735,3.32e-16,48.73,*,2.634,2.634,3.95e+11,
2195,J2007+3120,0.608205,1.56e-14,191.50,*,6.906,6.906,3.12e+12,
2196,J2008+2513,0.589196,5.40e-15,60.56,*,4.030,4.030,1.80e+12,
2197,J2008+3139,0.226119,8.28e-17,223.90,*,7.150,7.150,1.38e+11,
2198,J2008+3758,4.352303,7.20e-16,143.00,*,5.892,5.892,1.79e+12,
2199,J2009+3326,1.438369,1.47e-15,263.60,*,7.303,7.303,1.47e+12,
2200,J2010+2845,0.565369,9.07e-17,112.47,*,6.585,6.585,2.29e+11,
2201,J2010+3230,1.442448,3.62e-15,371.80,*,13.034,13.034,2.31e+12,
2202,J2011+3331,0.931733,1.79e-15,298.58,*,8.602,8.602,1.31e+12,
2203,J2012-2029,0.544002,5.48e-16,37.67,*,2.809,2.809,5.52e+11,
2204,J2013+3058,0.276028,1.52e-16,148.70,*,6.641,6.641,2.07e+11,
2205,J2013+3845,0.230194,8.85e-15,238.22,*,7.123,7.123,1.44e+12,
2206,J2013-0649,0.580187,6.01e-16,63.36,*,9.574,9.574,5.98e+11,
2207,J2015+2524,2.303299,5.10e-16,11.00,*,0.743,0.743,1.10e+12,
2208,J2016+1948,0.064940,4.01e-19,33.81,BT,2.161,2.161,5.16e+09,
2209,J2016+3711,0.050809,7.25e-14,428.00,*,13.298,13.298,1.94e+12,
2210,J2017+2043,0.537143,9.96e-16,60.49,*,4.196,4.196,7.40e+11,
2211,J2017+2819,1.832559,3.58e-16,66.00,*,4.875,4.875,8.20e+11,
2212,J2017+3625,0.166749,1.36e-15,*,*,*,*,4.82e+11,
2213,J2017+5906,0.403478,2.22e-16,60.28,*,3.906,3.906,3.03e+11,
2214,J2017-2737,0.224524,6.10e-15,25.82,*,1.549,1.549,1.18e+12,
2215,J2018+2839,0.557953,1.48e-16,14.20,*,0.980,0.959,2.91e+11,
2216,J2018+3431,0.387664,1.84e-15,222.35,*,6.636,6.636,8.54e+11,
2217,J2018+3518_P,0.031316,3.92e-19,266.99,ELL1,7.077,7.077,3.55e+09,
2218,J2018-0414,0.040612,1.23e-19,30.91,*,1.806,1.806,2.26e+09,
2219,J2021+3651,0.103741,9.57e-14,367.50,*,1.800,10.512,3.19e+12,
2220,J2021+4026,0.265318,5.47e-14,*,*,2.150,*,3.85e+12,
2221,J2022+2854,0.343402,1.89e-15,24.63,*,2.100,1.706,8.16e+11,
2222,J2022+3842,0.048579,8.61e-14,429.10,*,10.000,13.154,2.07e+12,
2223,J2022+5154,0.529197,3.06e-15,22.55,*,1.800,1.421,1.29e+12,
2224,J2023+0937,1.604738,7.44e-16,61.80,*,5.206,5.206,1.11e+12,
2225,J2023+5037,0.372619,2.51e-15,32.99,*,2.059,2.059,9.79e+11,
2226,J2027+2146,0.398173,2.03e-16,97.09,*,10.296,10.296,2.88e+11,
2227,J2027+4557,1.099651,3.09e-16,229.59,*,9.004,9.004,5.90e+11,
2228,J2027+7502,0.515219,8.89e-16,11.42,*,0.743,0.743,6.85e+11,
2229,J2028+3332,0.176707,4.86e-15,*,*,*,*,9.38e+11,
2230,J2029+3744,1.216805,1.23e-14,190.66,*,5.771,5.771,3.92e+12,
2231,J2029+5459,0.578909,2.26e-15,59.75,*,3.450,3.450,1.16e+12,
2232,J2030+2228,0.630513,8.85e-16,71.86,*,6.393,6.393,7.56e+11,
2233,J2030+3641,0.200129,6.50e-15,246.00,*,6.947,6.947,1.15e+12,
2234,J2030+4415,0.227070,6.48e-15,*,*,0.720,*,1.23e+12,
2235,J2032+0701,0.409576,1.59e-16,73.79,*,25.000,25.000,2.58e+11,
2236,J2032+4127,0.143246,1.13e-14,114.67,BT,1.330,4.623,1.29e+12,
2237,J2033+0042,5.013400,9.69e-15,37.84,*,2.736,2.736,7.05e+12,
2238,J2033-1938,1.281719,4.55e-16,23.47,*,1.525,1.525,7.73e+11,
2239,J2036+2835,1.358727,2.09e-15,84.22,*,6.741,6.741,1.71e+12,
2240,J2036+6646,0.501927,9.40e-16,50.76,*,3.230,3.230,6.95e+11,
2241,J2037+1942,2.074379,2.04e-15,36.89,*,2.806,2.806,2.08e+12,
2242,J2037+3621,0.618715,4.50e-15,93.56,*,4.851,4.851,1.69e+12,
2243,J2038+3447,0.160165,9.00e-19,57.93,DD,3.841,3.841,1.22e+10,
2244,J2038+5319,1.424568,9.44e-16,160.20,*,8.135,8.135,1.17e+12,
2245,J2038-3816,1.577290,4.16e-15,33.96,*,3.587,3.587,2.59e+12,
2246,J2040+1657,0.865606,5.95e-16,50.69,*,4.438,4.438,7.26e+11,
2247,J2040-2156,0.562575,1.31e-16,23.75,*,1.657,1.657,2.75e+11,
2248,J2041+4551,1.159812,2.11e-14,310.00,*,9.033,9.033,5.01e+12,
2249,J2043+2740,0.096131,1.27e-15,21.02,*,1.480,1.480,3.54e+11,
2250,J2044+4614,1.392715,6.30e-16,315.40,*,8.952,8.952,9.48e+11,
2251,J2045+0912,0.395555,1.95e-16,31.78,*,2.460,2.460,2.81e+11,
2252,J2045+3633,0.031682,5.88e-19,129.53,DDGR,5.629,5.629,4.37e+09,
2253,J2046+1540,1.138286,1.82e-16,39.82,*,3.226,3.340,4.61e+11,
2254,J2046+5708,0.476735,1.11e-14,101.79,*,4.339,4.339,2.33e+12,
2255,J2046-0421,1.546938,1.47e-15,35.98,*,5.400,3.293,1.53e+12,
2256,J2047+5029,0.445945,4.18e-15,107.68,*,3.972,3.972,1.38e+12,
2257,J2048+2255,0.283901,1.52e-17,70.69,*,7.647,7.647,6.64e+10,
2258,J2048+4951,0.568301,5.29e-15,222.80,*,6.777,6.777,1.75e+12,
2259,J2048-1616,1.961585,1.10e-14,11.46,*,0.950,0.791,4.69e+12,
2260,J2050+1259,1.221020,5.04e-16,52.40,*,5.829,5.829,7.94e+11,
2261,J2051+1248,0.553167,1.90e-17,43.45,*,4.069,4.069,1.04e+11,
2262,J2053+1718,0.119268,2.86e-19,26.98,*,2.087,2.087,5.92e+09,
2263,J2053+4718,4.910379,1.48e-14,331.30,*,8.817,8.817,8.63e+12,
2264,J2053-7200,0.341336,1.98e-16,17.64,*,1.047,1.047,2.63e+11,
2265,J2055+2209,0.815181,1.34e-15,36.35,*,2.999,2.999,1.06e+12,
2266,J2055+2539,0.319561,4.10e-15,*,*,0.620,*,1.16e+12,
2267,J2055+3630,0.221508,3.69e-16,97.42,*,5.000,5.244,2.89e+11,
2268,J2057+4701,0.559574,5.60e-14,219.00,*,4.934,4.934,5.67e+12,
